Código,Descripción,Categoría,Marca,Cantidad (unidades),Unidades/Bulto,Cantidad (bultos),Costo Unitario (USD),Precio Unitario (USD),Valor Total Costo (USD),Valor Total Venta (USD)
003289,HUEVOS TIPO AA 1/2 CARTON,CESTA BASICA,nan,336131.00,30,11204.37,2.0843,2.9400,700585.29,988225.14
003575,DETERGENTE EN POLVO EXPERIENCIA CITRICA VALE 900 GR,LIMPIEZA,VALEO,2080.00,20,104.00,189.6756,2.3797,394525.25,4949.79
004962,HARINA DE MAIZ BLANCO SIN GLUTEN PAN 1 KG,CESTA BASICA,nan,326318.00,20,16315.90,1.1969,1.2368,390576.66,403578.72
002264,ACEITE DE SOYA GRANJA 900 ML,CESTA BASICA,None,165983.00,12,13831.92,2.1563,2.9671,357912.49,492489.44
003833,PASTA VERMICELLI PREMIUM LA ESPECIAL 1 KG,CESTA BASICA,nan,136475.00,12,11372.92,1.3156,1.5400,179549.68,210171.50
004873,HARINA DE MAIZ BLANCO DOÑA BELEN 900 GR,CESTA BASICA,nan,191038.00,20,9551.90,0.9254,0.9500,176789.45,181486.10
004335,ARROZ BLANCO TIPO I LLANO VERDE 800 GR,CESTA BASICA,nan,158328.00,24,6597.00,1.0863,1.3000,171999.24,205826.40
001616,ARROZ TRADICIONAL MARY 900 GR,CESTA BASICA,nan,134903.00,24,5620.96,1.2438,1.4756,167797.64,199062.17
001573,AZUCAR NATURAL KONFIT 1 KG,CESTA BASICA,nan,116618.00,20,5830.90,1.3800,1.4800,160932.84,172594.64
003210,LENTEJAS A GRANEL 500 GR,CESTA BASICA,nan,120000.00,1,120000.00,1.3070,1.8141,156845.97,217688.68
002880,AZUCAR CRISTAL DOCE DIA 1 KG,CESTA BASICA,nan,121757.00,30,4058.57,1.2293,1.4574,149678.45,177442.92
001874,ARROZ PREMIUM SANTONI 900 GR,CESTA BASICA,nan,126767.00,24,5281.96,1.1685,1.3500,148127.39,171135.45
001422,PASTA VERMICELLI HORIZONTE 1 KG,CESTA BASICA,nan,101364.00,12,8447.00,1.3104,1.5400,132831.63,156100.56
001972,SALSA DE TOMATE GRANJA 385 GR,VIVERES,nan,132780.00,12,11065.00,0.9807,1.0255,130220.54,136164.10
001615,ARROZ SUPERIOR TIPO I MARY 900 GR,CESTA BASICA,nan,100140.00,24,4172.50,1.2877,1.5000,128950.90,150210.00
000815,HARINA DE MAIZ Y ARROZ PAN 1 KG,CESTA BASICA,nan,117780.00,20,5889.00,1.0368,1.2010,122111.91,141455.78
003201,CARAOTAS NEGRAS A GRANEL 500 GR,CESTA BASICA,nan,146100.00,1,146100.00,0.8063,0.8100,117795.13,118341.00
002263,MAYONESA GRANJA 465 GR,VIVERES,nan,72192.00,12,6016.00,1.5183,2.1525,109610.42,155394.70
003831,PASTA DEDAL PREMIUM LA ESPECIAL 1 KG,CESTA BASICA,nan,62470.00,12,5205.83,1.4304,1.7500,89359.25,109322.50
002006,LECHE EN POLVO COMPLETA UPACA 400 GR,CESTA BASICA,nan,26952.00,24,1123.00,3.1419,4.8800,84679.42,131525.76
