codigo,descripcion,unidades_por_bulto,unidad_pedido
4328,ACEITE COMESTIBLE GIRASOL 900 ML,12,Bulto
4337,ACEITE COMESTIBLE PURO DE SOYA NATUROIL 850 ML,12,Bulto
265,ACEITE DE BEBE BABY SKIN OIL 200 ML,1,Bulto
4018,ACEITE DE COCO COSMETICO COCAY 100 ML,1,Bulto
4017,ACEITE DE COCO EXTRA VIRGEN COCAY 500 ML,1,Bulto
3053,ACEITE DE GIRASOL KADOO 900 ML,1,Bulto
806,ACEITE DE MAIZ MAZEITE 1 LT,12,Bulto
312,ACEITE DE OLIVA AL-AMIR 500 ML,12,Bulto
3828,ACEITE DE OLIVA CARBONELL 250 ML,12,Bulto
2978,ACEITE DE OLIVA CARBONELL LATA 500 ML,12,Bulto
1361,ACEITE DE OLIVA EXTRA VIRGEN CAPRI 250 ML,12,Bulto
1360,ACEITE DE OLIVA EXTRA VIRGEN CAPRI 500 ML,12,Bulto
2979,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL 500 ML,6,Bulto
2977,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL 750 ML,6,Bulto
4747,ACEITE DE OLIVA EXTRA VIRGEN GALLO LATA 200 ML,40,Bulto
3082,ACEITE DE OLIVA EXTRA VIRGEN KALDINI 1 LT,12,Bulto
3083,ACEITE DE OLIVA EXTRA VIRGEN KALDINI 500 ML,12,Bulto
1608,ACEITE DE OLIVA EXTRA VIRGEN MARY 750 ML,1,Bulto
4746,ACEITE DE OLIVA EXTRA VIRGEN SOL Y OLIVA CARBONELL 1 LT,15,Bulto
339,ACEITE DE OLIVA PURO GALLO LATA 200 ML,20,Bulto
2792,ACEITE DE SOYA 900 ML,20,Bulto
2882,ACEITE DE SOYA CONCORDIA 900 ML,1,Bulto
2881,ACEITE DE SOYA CORCOVADO 900 ML,1,Bulto
4316,ACEITE DE SOYA DIANA 760 ML,12,Bulto
2264,ACEITE DE SOYA GRANJA 900 ML,12,Bulto
1068,ACEITE DE SOYA VATEL 1 LT,12,Bulto
1069,ACEITE DE SOYA VATEL 250 ML,24,Bulto
1071,ACEITE DE SOYA VATEL 500 ML,24,Bulto
3377,ACEITE DE SOYA VATEL 900 ML,1,Bulto
266,ACEITE PARA BEBE BABY 100 ML,1,Bulto
4700,ACEITE VEGETAL DE SOYA IDEAL 900 ML,1,Bulto
1070,ACEITE VEGETAL VATEL 1 LT,12,Bulto
3464,ACEITUNAS CON HUESO EUREKA 500 GR,1,Bulto
2993,ACEITUNAS NEGRAS AGRO SEVILLA 200 GR,1,Bulto
1434,ACEITUNAS RELLENAS EUREKA 500 GR,1,Bulto
304,ACEITUNAS RELLENAS KG,55,Bulto
300,ACELGA KG,1,Bulto
2946,ACETO BALSAMICO KALDINI 500 ML,12,Bulto
623,ACONDICIONADOR 3 MINUTES PANTENE 18 ML,1,Bulto
699,ACONDICIONADOR CABELLO LISO PROH COMPLEX DRENE 370 ML,12,Bulto
700,ACONDICIONADOR CABELLO SECO PROH COMPLEX DRENE 370 ML,12,Bulto
5330,ACONDICIONADOR RESTAURACION PANTENE 200 ML,12,Bulto
5331,ACONDICIONADOR RESTAURACION PANTENE 400 ML,12,Bulto
2136,ACONDICIONADOR TRATAMIENTO CAPILAR GRANJA 400 ML,12,Bulto
2247,ADEREZO A BASE DE MAYONESA WILOS 445 GR,12,Bulto
5275,ADEREZO DE MOSTAZA FRITZ 160 GR,24,Bulto
3524,ADEREZO MOSTAZA Y MIEL FRITZ 250 GR,12,Bulto
1495,ADOBO COMPLETO IBERIA 185 GR,24,Bulto
1518,ADOBO COMPLETO IBERIA 40 GR,24,Bulto
1175,ADOBO COMPLETO LA COMADRE 200 GR,24,Bulto
1322,ADOBO COMPLETO MC CORMICK 125 GR,6,Bulto
1493,ADOBO COMPLETO OLYMPIA 185 GR,1,Bulto
887,ADOBO MAGGI 200 GR,20,Bulto
624,AFEITADORA 2 HOJILLAS GILLETTE,576,Bulto
2412,AFEITADORA 3 HOJILLAS COMFORT GEL GILLETTE,120,Bulto
2411,AFEITADORA 3 HOJILLAS GILLETTE,120,Bulto
4137,AFEITADORA AZUL 2 HOJILLAS DORCO,100,Blister
2409,AFEITADORA BLISTER 3 X 2 GILLETTE,72,Bulto
3958,AFEITADORA CON ALOE SENSITIVE GILLETTE,72,Bulto
3077,AFEITADORA DORCO AZUL 5 PZAS,320,Bulto
3076,AFEITADORA DORCO ROSADA 5 PZAS,320,Bulto
4795,AFEITADORA MACH3 CARBONO GILLETE 37 GR,30,Bulto
4797,AFEITADORA MACH3 GILLETTE 37 GR,30,Bulto
4796,AFEITADORA ORIGINAL 3 HOJILLAS CON REPUESTO VENUS GILLETTE,36,Bulto
2410,AFEITADORA PB 3 GILLETTE BLISTER 4 UND,36,Bulto
4924,AFEITADORA ROSADA 2 HOJILLAS DORCO,100,Blister
481,AFEITADORA ROSA MAX 3 UND,432,Bulto
4580,AFEITADORA SENSOR 3 GILLETTE 4 UND,36,Bulto
653,AFEITADORA SKIN COMFORT VENUS GILLETTE,6,Bulto
234,AFEITADORAS VARIAS,1,Bulto
4752,AFEITADORA ULTRA GRIP 2 GILLETTE 5 UND,24,Bulto
482,AFEITADORA VERDE MAX 3,1,Bulto
2255,AFRECHO DE TRIGO ALIMENTOS NATURAL PLUS 300 GR,24,Bulto
132,AGUACATE KG,30,Cesta
1850,AGUA DE COCO NATULAC 1 LT,12,Bulto
1851,AGUA DE COCO NATULAC 250 ML,24,Bulto
1014,AGUA DE LIMON SPARKLING MINALBA 500 ML,12,Bulto
978,AGUA DE NARANJA SPARKLING MINALBA 500 ML,12,Bulto
967,AGUA DE TORONJA SPARKLING MINALBA 500 ML,12,Bulto
5177,AGUA GASIFICADA SABOR A MANZANA NEVADA 1.5L,6,Bulto
5179,AGUA GASIFICADA SABOR A MANZANA NEVADA 355 ML,12,Bulto
5178,AGUA GASIFICADA SABOR A PARCHITA NEVADA 1.5 LT,6,Bulto
5180,AGUA GASIFICADA SABOR A PARCHITA NEVADA 355 ML,12,Bulto
1012,AGUA GASIFICADA SPARKLING MINALBA 500 ML,12,Bulto
975,AGUA MINALBA 1.5 LT,12,Bulto
1005,AGUA MINALBA 355 ML,24,Bulto
977,AGUA MINALBA 5 LT,2,Bulto
976,AGUA MINALBA 600 ML,24,Bulto
1877,AGUA MINERAL CRISTAL 1.5 LT,1,Bulto
1876,AGUA MINERAL CRISTAL 330 ML,24,Bulto
1878,AGUA MINERAL CRISTAL 4.8 LT,2,Bulto
1969,AGUA MINERAL CRISTAL 600 ML,12,Bulto
203,AGUA MINERAL CRISTINA 5 LT,1,Bulto
2261,AGUA MINERAL PREMIUM EVA 350 ML,1,Bulto
4540,AGUA MINERAL VIDACTIVA 1.5 LT,12,Bulto
4541,AGUA MINERAL VIDACTIVA 330 ML,24,Bulto
4539,AGUA MINERAL VIDACTIVA 3 LT,4,Bulto
4538,AGUA MINERAL VIDACTIVA 5 LT,4,Bulto
2124,AGUA MINERAL VIDACTIVA 600 ML,24,Bulto
4537,AGUA MINERAL VIDACTIVA 8 LT,2,Bulto
1273,AGUA NEVADA 1.5 TL,6,Bulto
1272,AGUA NEVADA 355 ML,16,Bulto
1274,AGUA NEVADA 5 LT,2,Bulto
1275,AGUA NEVADA 600 ML,16,Bulto
4637,AGUARDIENTE ANTIOQUEÑO S/A 750 ML,1,Bulto
2225,AGUARDIENTE TUCACAS 40º 1 LT,12,Bulto
166,AJI DULCE KG,1,Bulto
577,AJI PICANTE KG,15,Cesta
5257,AJO CRIOLLO KG,1,Bulto
488,AJO EN MALLA,10,Bulto
4438,AJO EN POLVO LA COMADRE 65 GR,12,Bulto
1323,AJO HIERBAS MC CORMICK 105 GR,6,Bulto
165,AJO KG,1,Bulto
4053,AJO MIX MC CORMICK 100 GR,6,Bulto
1337,AJO MOLIDO MC CORMICK 92 GR,6,Bulto
411,AJO PELADO 100 GR,1,Bulto
432,AJO PELADO 150 GR,1,Unidad
1336,AJO PICADO MC CORMICK 83 GR,6,Bulto
146,AJO PORRO KG,1,Bulto
1324,AJO ROSTIZADO MC CORMICK 116 GR,6,Bulto
313,ALAS DE POLLO GRANJA KG,1,Bulto
24,ALAS DE POLLO PUROLOMO KG,1,Bulto
121,ALBAHACA KG,1,Bulto
3181,ALBAHACA PAQUETE,1,Unidad
3836,ALBECA SALSA DE MAIZ 220G,24,Bulto
4283,ALBONDIGAS TAURUS 480 GR (NO USAR),1,Bulto
2267,ALCACHOFA KG,1,Kg
1436,ALCAPARRA CARPERS EUREKA 500 GR,1,Bulto
301,ALCAPARRA EN SAL KG,35,Bulto
1435,ALCAPARRAS EUREKA 200 GR,1,Bulto
3936,ALCOHOL ANTISEPTICO SANTA TERESA 70% 700 ML,12,Bulto
3101,ALFALFA BANDEJA,1,Unidad
4589,ALIMENTO LACTEO EN POLVO VILLA LACTEA 400 GR,1,Bulto
3157,ALMENDRA CON PIEL KG,10,Bulto
4035,AMANECER AZÚCAR REFINADA 1KG,20,Bulto
4838,AMBIENTADOR CAMPOS DE LAVANDA GLADE 235 ML,12,Bulto
4071,AMBIENTADOR CAMPOS DE LAVANDA GLADE 360 ML,12,Bulto
4072,AMBIENTADOR MANZANA Y CANELA GLADE 360 ML,12,Bulto
5284,AMBIENTADOR OCEANO VALE 300 ML,12,Bulto
5285,AMBIENTADOR PRIMAVERA VALE 300 ML,12,Bulto
5283,AMBIENTADOR VAINILLA VALE 300 ML,12,Bulto
2227,ANIS BLUE ENERGY ELECTRICO 1 LT,12,Bulto
2178,ANIS BUDU BANDERA 1 LT,12,Bulto
4808,ANIS CARTUJO 1 LT,1,Bulto
2342,ANIS COCTEL BUDU BANDERA 1 LT,12,Bulto
2177,ANIS DIAMANTE BANDERA 1 LT,1,Bulto
2228,ANIS ELECTRICO LOVE ENERGY 1 LT,12,Bulto
2244,ANIS ESTAXPLOTADA BOMBONA 1 LT,12,Bulto
2316,ANIS MONTE CARMELO 1 LT,1,Bulto
