codigo,descripcion,unidades_por_bulto
004328,ACEITE COMESTIBLE GIRASOL 900 ML,12
004337,ACEITE COMESTIBLE PURO DE SOYA NATUROIL 850 ML,12
000265,ACEITE DE BEBE BABY SKIN OIL 200 ML,1
004018,ACEITE DE COCO COSMETICO COCAY 100 ML,1
004017,ACEITE DE COCO EXTRA VIRGEN COCAY 500 ML,1
003053,ACEITE DE GIRASOL KADOO 900 ML,1
000806,ACEITE DE MAIZ MAZEITE 1 LT,12
000312,ACEITE DE OLIVA AL-AMIR 500 ML,12
003828,ACEITE DE OLIVA CARBONELL 250 ML,12
002978,ACEITE DE OLIVA CARBONELL LATA 500 ML,12
001361,ACEITE DE OLIVA EXTRA VIRGEN CAPRI 250 ML,12
001360,ACEITE DE OLIVA EXTRA VIRGEN CAPRI 500 ML,12
002979,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL 500 ML,6
002977,ACEITE DE OLIVA EXTRA VIRGEN CARBONELL 750 ML,6
004747,ACEITE DE OLIVA EXTRA VIRGEN GALLO LATA 200 ML,40
003082,ACEITE DE OLIVA EXTRA VIRGEN KALDINI 1 LT,12
003083,ACEITE DE OLIVA EXTRA VIRGEN KALDINI 500 ML,12
001608,ACEITE DE OLIVA EXTRA VIRGEN MARY 750 ML,1
004746,ACEITE DE OLIVA EXTRA VIRGEN SOL Y OLIVA CARBONELL 1 LT,15
000339,ACEITE DE OLIVA PURO GALLO LATA 200 ML,20
002792,ACEITE DE SOYA 900 ML,20
002882,ACEITE DE SOYA CONCORDIA 900 ML,1
002881,ACEITE DE SOYA CORCOVADO 900 ML,1
004316,ACEITE DE SOYA DIANA 760 ML,12
002264,ACEITE DE SOYA GRANJA 900 ML,12
001068,ACEITE DE SOYA VATEL 1 LT,12
001069,ACEITE DE SOYA VATEL 250 ML,24
001071,ACEITE DE SOYA VATEL 500 ML,24
003377,ACEITE DE SOYA VATEL 900 ML,1
000266,ACEITE PARA BEBE BABY 100 ML,1
004700,ACEITE VEGETAL DE SOYA IDEAL 900 ML,1
001070,ACEITE VEGETAL VATEL 1 LT,12
003464,ACEITUNAS CON HUESO EUREKA 500 GR,1
002993,ACEITUNAS NEGRAS AGRO SEVILLA 200 GR,1
001434,ACEITUNAS RELLENAS EUREKA 500 GR,1
000304,ACEITUNAS RELLENAS KG,55
000300,ACELGA KG,1
002946,ACETO BALSAMICO KALDINI 500 ML,12
000623,ACONDICIONADOR 3 MINUTES PANTENE 18 ML,1
000699,ACONDICIONADOR CABELLO LISO PROH COMPLEX DRENE 370 ML,12
000700,ACONDICIONADOR CABELLO SECO PROH COMPLEX DRENE 370 ML,12
005330,ACONDICIONADOR RESTAURACION PANTENE 200 ML,12
005331,ACONDICIONADOR RESTAURACION PANTENE 400 ML,12
002136,ACONDICIONADOR TRATAMIENTO CAPILAR GRANJA 400 ML,12
002247,ADEREZO A BASE DE MAYONESA WILOS 445 GR,12
005275,ADEREZO DE MOSTAZA FRITZ 160 GR,24
003524,ADEREZO MOSTAZA Y MIEL FRITZ 250 GR,12
001495,ADOBO COMPLETO IBERIA 185 GR,24
001518,ADOBO COMPLETO IBERIA 40 GR,24
001175,ADOBO COMPLETO LA COMADRE 200 GR,24
001322,ADOBO COMPLETO MC CORMICK 125 GR,6
001493,ADOBO COMPLETO OLYMPIA 185 GR,1
000887,ADOBO MAGGI 200 GR,20
000624,AFEITADORA 2 HOJILLAS GILLETTE,576
002412,AFEITADORA 3 HOJILLAS COMFORT GEL GILLETTE,120
